p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
7.23598708313932e-17,1.964203295328,0.252,0.053,1.33482253722671e-12,0,Slc16a1
2.03791221562742e-16,0.870397006501642,0.327,0.087,3.75933666416791e-12,0,Fhdc1
8.75008630905404e-16,3.37052747343619,0.43,0.153,1.6141284214312e-11,0,Stag1
1.29443227718061e-15,1.80843971218323,0.318,0.088,2.38783922171507e-11,0,Pabpc4
1.78531262261449e-15,-47.0327373869711,1,0.995,3.29336619493695e-11,0,Gm19951
1.99754437117179e-15,1.00307569413541,0.336,0.096,3.6848701015006e-11,0,Galnt10
4.14653101737716e-15,-190.309925298606,1,1,7.64910576775565e-11,0,Cmss1
1.11641882041656e-14,4.20162200905934,0.28,0.073,2.05945779802243e-10,0,Reln
1.31014803780065e-14,-5.38674659354412,0.383,0.126,2.41683008533086e-10,0,Bmp2k
2.50431199857583e-14,2.92387466295194,0.364,0.119,4.61970434377282e-10,0,Zfpm1
8.95998831944831e-14,2.43293611299185,0.336,0.108,1.65284904528863e-09,0,Rb1
1.4021104709958e-13,3.00915348973561,0.308,0.095,2.58647318584596e-09,0,Ezh2
1.81020957469039e-13,-1.65802349222199,0.495,0.208,3.33929360243136e-09,0,Ranbp10
2.68594576955859e-13,2.38762715112264,0.467,0.19,4.95476416110473e-09,0,Dleu2
2.77869509038303e-13,0.526927263155156,0.561,0.255,5.12585883322957e-09,0,Serinc3
4.19980930290186e-13,3.87187475163964,0.449,0.183,7.74738822106306e-09,0,Usp32
5.67215693460873e-13,3.20359522846218,0.336,0.115,1.04634278972727e-08,0,Ctse
7.13258442985853e-13,0.477837733885358,0.458,0.183,1.315747849776e-08,0,Metap2
3.643405536991e-12,-70.5400243806313,1,0.97,6.72099019408731e-08,0,Camk1d
4.27796440794114e-12,-22.9573005558888,1,0.994,7.89156094332902e-08,0,Gphn
6.22890541124503e-12,-0.885003343666941,0.374,0.132,1.14904618121237e-07,0,Tfdp2
6.76695462016612e-12,-7.68382906777865,0.533,0.225,1.24830011878204e-07,0,Xpo7
4.26323322215773e-11,-21.5147213105203,1,0.999,7.86438632491436e-07,0,mt-Rnr1
5.11636525139915e-11,3.46803672572935,0.383,0.16,9.43815897925601e-07,0,Cep128
9.80017630999407e-11,-84.9173669234987,0.271,0.554,1.80783852390461e-06,0,S100a9
